Initial Model - Profile Train (num_workers=0, batch_size=64)

Time:
===============
Overall Time: 207.61137533299998s
	Total train Time: 20.929855869000008s
	Total validation Time: 5.792422294000005s
	Total test Time: 1.285886349000009s
	Train Time per epoch: 20.929855869000008s
	Validation per epoch: 5.792422294000005s
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void cudnn::dropout_generate_mask<4>(float, curandSt...         0.00%       0.000us         0.00%       0.000us       0.000us      18.031ms         0.07%      18.031ms      65.807us           0 b           0 b           0 b           0 b           274  
void cudnn::dropout_apply_mask<float, float, 4>(floa...         0.00%       0.000us         0.00%       0.000us       0.000us     268.887ms         1.09%     268.887ms      13.443us           0 b           0 b           0 b           0 b         20002  
                                       aten::transpose_         0.02%       4.910ms         0.03%       7.859ms      12.947us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           607  
                                      aten::as_strided_         0.01%       2.949ms         0.01%       2.949ms       4.858us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           607  
                                          aten::dropout         0.01%       1.834ms         0.09%      27.396ms      82.270us       0.000us         0.00%       1.821ms       5.468us           0 b           0 b      42.72 Mb           0 b           333  
                                   aten::native_dropout         0.05%      14.598ms         0.08%      25.562ms      93.292us       1.622ms         0.01%       1.821ms       6.646us           0 b           0 b      42.72 Mb      -2.66 Mb           274  
                                           aten::linear         0.01%       2.627ms         0.19%      56.670ms     170.180us       0.000us         0.00%       4.422ms      13.279us           0 b           0 b       8.29 Mb         512 b           333  
                                                aten::t         0.02%       6.511ms         0.04%      11.321ms       7.922us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b          1429  
                                            aten::addmm         0.13%      38.970ms         0.17%      50.379ms     151.288us       4.020ms         0.02%       4.434ms      13.315us           0 b           0 b       8.29 Mb       8.29 Mb           333  
                                           aten::expand         0.01%       3.790ms         0.02%       4.635ms       4.931us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           940  
void at::native::(anonymous namespace)::fused_dropou...         0.00%       0.000us         0.00%       0.000us       0.000us       1.622ms         0.01%       1.622ms       5.920us           0 b           0 b           0 b           0 b           274  
cudaOccupancyMaxActiveBlocksPerMultiprocessorWithFla...         0.00%       1.072ms         0.00%       1.072ms       1.932us      17.000us         0.00%      17.000us       0.031us           0 b           0 b           0 b           0 b           555  
void dot_kernel<float, 128, 0, cublasDotParams<cubla...         0.00%       0.000us         0.00%       0.000us       0.000us       1.606ms         0.01%       1.606ms       4.823us           0 b           0 b           0 b           0 b           333  
void reduce_1Block_kernel<float, 128, 7, cublasGemvT...         0.00%       0.000us         0.00%       0.000us       0.000us       1.337ms         0.01%       1.337ms       4.015us           0 b           0 b           0 b           0 b           333  
                                          aten::sigmoid         0.04%      11.493ms         0.05%      14.638ms      43.958us       1.277ms         0.01%       1.300ms       3.904us           0 b           0 b     166.50 Kb     166.50 Kb           333  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.277ms         0.01%       1.277ms       3.835us           0 b           0 b           0 b           0 b           333  
                                               aten::gt         0.03%       9.650ms         0.04%      12.814ms      38.480us       1.031ms         0.00%       1.049ms       3.150us           0 b           0 b     166.50 Kb     166.50 Kb           333  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us       1.031ms         0.00%       1.031ms       3.096us           0 b           0 b           0 b           0 b           333  
                                           aten::unbind         0.13%      39.841ms         0.24%      72.871ms     218.832us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           333  
                                               aten::eq         0.84%     255.612ms         1.34%     405.144ms      18.771us      46.268ms         0.19%     136.454ms       6.322us           0 b           0 b      10.54 Mb      10.54 Mb         21583  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      11.477ms         0.05%      11.477ms       2.160us           0 b           0 b           0 b           0 b          5313  
                                       aten::is_nonzero         0.30%      89.585ms        12.63%        3.823s     179.896us       0.000us         0.00%     273.912ms      12.890us           0 b           0 b           0 b           0 b         21250  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us      22.394ms         0.09%      22.394ms       2.108us           0 b           0 b           0 b           0 b         10625  
void at::native::vectorized_elementwise_kernel<2, at...         0.00%       0.000us         0.00%       0.000us       0.000us      11.362ms         0.05%      11.362ms       2.139us           0 b           0 b           0 b           0 b          5312  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 30.276s
Self CUDA time total: 24.612s

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
enumerate(DataLoader)#_SingleProcessDataLoaderIter._...         0.60%     180.480ms         1.35%     409.264ms       1.222ms       0.000us         0.00%       0.000us       0.000us      41.67 Mb    -332.05 Kb           0 b           0 b           335  
                                            aten::stack         0.14%      42.735ms         0.46%     139.924ms     148.855us       0.000us         0.00%       1.722ms       1.832us      41.67 Mb           0 b     137.00 Kb           0 b           940  
                                              aten::cat         0.17%      52.717ms         0.21%      62.189ms      66.159us       1.646ms         0.01%       1.722ms       1.832us      41.67 Mb      41.67 Mb     137.00 Kb     137.00 Kb           940  
                                            aten::empty         0.28%      84.485ms         0.29%      86.866ms       6.013us       0.000us         0.00%      18.000us       0.001us     507.06 Kb     507.06 Kb     356.88 Gb     356.88 Gb         14446  
                                         aten::randperm         0.00%     991.000us         0.01%       2.038ms     254.750us       0.000us         0.00%       0.000us       0.000us     332.03 Kb         -32 b           0 b           0 b             8  
                                         aten::_to_copy         0.11%      31.848ms        18.48%        5.595s       1.114ms       0.000us         0.00%      36.399ms       7.246us      96.25 Kb       5.45 Kb     174.48 Mb           0 b          5023  
                                               aten::to         0.06%      19.107ms        18.53%        5.610s     628.323us       0.000us         0.00%      36.336ms       4.069us      91.26 Kb       2.32 Kb     174.48 Mb     144.00 Kb          8929  
                                    aten::empty_strided         0.20%      59.699ms         0.93%     280.768ms      22.458us       0.000us         0.00%       6.000us       0.000us      86.12 Kb      86.12 Kb      71.38 Gb      71.38 Gb         12502  
                                       aten::empty_like         0.05%      15.844ms         0.15%      44.623ms       9.187us       0.000us         0.00%       0.000us       0.000us      20.75 Kb       3.31 Kb      27.12 Gb     862.54 Mb          4857  
                                             aten::add_         0.08%      23.100ms         0.15%      46.101ms      14.852us       0.000us         0.00%       0.000us       0.000us       6.49 Kb      -5.94 Kb           0 b           0 b          3104  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 30.276s
Self CUDA time total: 24.612s

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
