Optimized Model 1 - Profile Train (num_workers=0, batch_size=128)

Time:
===============
Overall Time: 148.542382768s
	Total train Time: 31.317121920999995s
	Total validation Time: 2.7058704049999847s
	Total test Time: 2.316272055000013s
	Train Time per epoch: 31.317121920999995s
	Validation per epoch: 2.7058704049999847s
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::clone         0.00%     416.000us         0.06%      27.673ms      38.703us       0.000us         0.00%     232.615ms     325.336us           0 b           0 b      26.55 Gb      -7.69 Gb           715  
                                       aten::empty_like         0.02%       8.457ms         0.05%      20.953ms       8.584us       0.000us         0.00%      20.000us       0.008us      20.75 Kb       2.91 Kb      27.12 Gb       2.20 Gb          2441  
void at::native::elementwise_kernel<128, 2, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     240.685ms         0.40%     240.685ms     236.197us           0 b           0 b           0 b           0 b          1019  
                                    cudaStreamWaitEvent         0.02%      10.748ms         0.02%      10.751ms       0.090us        3.735s         6.23%        3.735s      31.260us           0 b           0 b           0 b           0 b        119492  
          cudaOccupancyMaxActiveBlocksPerMultiprocessor         0.02%       6.648ms         0.02%       6.648ms       0.062us        3.863s         6.44%        3.863s      36.049us           0 b           0 b           0 b           0 b        107155  
                                  volta_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us        1.565s         2.61%        1.565s     658.826us           0 b           0 b           0 b           0 b          2376  
                                 volta_sgemm_128x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us       12.626s        21.06%       12.626s     147.161us           0 b           0 b           0 b           0 b         85800  
void elemWiseRNNcell<float, float, float, (cudnnRNNM...         0.00%       0.000us         0.00%       0.000us       0.000us        4.386s         7.32%        4.386s      51.293us           0 b           0 b           0 b           0 b         85504  
                                       aten::transpose_         0.01%       2.280ms         0.01%       3.739ms      12.299us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           304  
                                      aten::as_strided_         0.00%       1.464ms         0.00%       1.464ms       4.816us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           304  
