Optimized Model 2 - Profile Train (num_workers=0, batch_size=128, pruning)

Time:
===============
Overall Time: 130.47057920400016s
	Total train Time: 14.9970645410001s
	Total validation Time: 1.6051469620001626s
	Total test Time: 1.045002944999851s
	Train Time per epoch: 14.9970645410001s
	Validation per epoch: 1.6051469620001626s
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 15.563s
Self CUDA time total: 20.934s

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::stack         0.26%      40.207ms         0.77%     120.287ms     255.386us       0.000us         0.00%     824.000us       1.749us      41.67 Mb           0 b      68.50 Kb           0 b           471  
                                              aten::cat         0.27%      42.797ms         0.31%      48.508ms     102.989us     823.000us         0.00%     824.000us       1.749us      41.67 Mb      41.67 Mb      68.50 Kb      68.50 Kb           471  
                                            aten::empty         0.30%      46.232ms         0.30%      46.232ms       6.380us       0.000us         0.00%       0.000us       0.000us     502.23 Kb     502.23 Kb     325.60 Gb     325.60 Gb          7246  
                                         aten::randperm         0.01%     912.000us         0.01%       1.882ms     235.250us       0.000us         0.00%       0.000us       0.000us     332.03 Kb         -32 b           0 b           0 b             8  
                                         aten::_to_copy         0.11%      17.467ms         0.67%     103.630ms      41.123us       0.000us         0.00%      36.194ms      14.363us      90.16 Kb         424 b     174.40 Mb           0 b          2520  
                                               aten::to         0.11%      16.350ms         0.75%     116.624ms      26.038us       0.000us         0.00%      36.115ms       8.063us      87.45 Kb       7.43 Kb     174.40 Mb     275.50 Kb          4479  
                                    aten::empty_strided         0.20%      30.662ms         0.20%      30.662ms       4.889us       0.000us         0.00%       0.000us       0.000us      84.07 Kb      84.07 Kb      35.92 Gb      35.92 Gb          6271  
                                       aten::empty_like         0.06%       9.681ms         0.17%      25.844ms      10.587us       0.000us         0.00%       0.000us       0.000us      20.75 Kb       4.91 Kb      27.12 Gb     585.00 Mb          2441  
                                            aten::copy_         0.25%      38.813ms         1.42%     221.139ms      49.219us     227.855ms         1.09%     228.621ms      50.884us       4.80 Kb     -15.08 Kb           0 b           0 b          4493  
                                             aten::add_         0.07%      10.268ms         0.15%      23.493ms      15.137us       0.000us         0.00%       0.000us       0.000us       3.07 Kb      -3.30 Kb           0 b           0 b          1552  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 15.563s
Self CUDA time total: 20.934s

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: EmbeddingBackwa...         0.02%       2.488ms        39.54%        6.154s      44.920ms       0.000us         0.00%      91.893ms     670.752us           0 b           0 b      11.58 Gb      -4.27 Gb           137  
                                     EmbeddingBackward0         0.01%       1.064ms        39.53%        6.152s      44.902ms       0.000us         0.00%      91.893ms     670.752us           0 b           0 b      15.85 Gb           0 b           137  
                               aten::embedding_backward         0.01%     941.000us        39.52%        6.150s      44.894ms       0.000us         0.00%      91.893ms     670.752us           0 b           0 b      15.85 Gb           0 b           137  
                         aten::embedding_dense_backward         0.21%      32.197ms        39.51%        6.150s      44.887ms      59.549ms         0.28%      91.893ms     670.752us           0 b           0 b      15.85 Gb      -9.40 Gb           137  
                                  cudaStreamSynchronize        39.29%        6.115s        39.29%        6.115s     271.625us     181.559ms         0.87%     181.559ms       8.065us           0 b           0 b           0 b           0 b         22511  
                                       aten::is_nonzero         0.41%      63.323ms        23.32%        3.629s     170.776us       0.000us         0.00%     563.336ms      26.510us           0 b           0 b           0 b           0 b         21250  
                                             aten::item         0.24%      36.653ms        23.27%        3.621s     146.369us       0.000us         0.00%     564.624ms      22.823us           0 b           0 b           0 b           0 b         24739  
                                        cudaMemcpyAsync        23.18%        3.607s        23.18%        3.607s     158.031us     362.194ms         1.73%     362.194ms      15.870us           0 b           0 b           0 b           0 b         22823  
                              aten::_local_scalar_dense         0.59%      91.186ms        23.08%        3.591s     145.172us      22.659ms         0.11%     565.860ms      22.873us           0 b           0 b           0 b           0 b         24739  
autograd::engine::evaluate_function: CudnnRnnBackwar...         0.04%       6.054ms        16.90%        2.630s      19.197ms       0.000us         0.00%       19.235s     140.401ms           0 b           0 b    -109.61 Gb    -115.76 Gb           137  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 15.563s
Self CUDA time total: 20.934s

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::empty         0.30%      46.232ms         0.30%      46.232ms       6.380us       0.000us         0.00%       0.000us       0.000us     502.23 Kb     502.23 Kb     325.60 Gb     325.60 Gb          7246  
                                             aten::lstm         0.12%      18.882ms         9.48%        1.475s       8.832ms       0.000us         0.00%        8.139s      48.734ms           0 b           0 b     104.80 Gb           0 b           167  
                                       aten::_cudnn_rnn         4.20%     654.157ms         9.32%        1.450s       8.681ms        6.309s        30.14%        8.138s      48.732ms           0 b           0 b     104.80 Gb     -60.77 Gb           167  
                                    aten::empty_strided         0.20%      30.662ms         0.20%      30.662ms       4.889us       0.000us         0.00%       0.000us       0.000us      84.07 Kb      84.07 Kb      35.92 Gb      35.92 Gb          6271  
                                            aten::zeros         0.05%       8.462ms         0.31%      48.692ms      42.085us       0.000us         0.00%      42.877ms      37.059us           0 b           0 b      35.03 Gb           0 b          1157  
                                       aten::empty_like         0.06%       9.681ms         0.17%      25.844ms      10.587us       0.000us         0.00%       0.000us       0.000us      20.75 Kb       4.91 Kb      27.12 Gb     585.00 Mb          2441  
                                       aten::contiguous         0.02%       3.825ms         0.25%      38.676ms      54.092us       0.000us         0.00%      66.913ms      93.585us           0 b           0 b      26.55 Gb       2.00 Gb           715  
                                            aten::clone         0.03%       4.686ms         0.23%      36.466ms      51.001us       0.000us         0.00%      70.332ms      98.366us           0 b           0 b      26.55 Gb    -576.00 Mb           715  
                                    aten::_foreach_sqrt         0.04%       6.310ms         0.11%      16.466ms     120.190us      49.413ms         0.24%      49.530ms     361.533us           0 b           0 b      17.73 Gb           0 b           137  
                                     aten::_foreach_add         0.05%       7.188ms         0.10%      15.669ms     114.372us      48.892ms         0.23%      48.924ms     357.109us           0 b           0 b      17.73 Gb           0 b           137  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 15.563s
Self CUDA time total: 20.934s

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
autograd::engine::evaluate_function: CudnnRnnBackwar...         0.04%       6.054ms        16.90%        2.630s      19.197ms       0.000us         0.00%       19.235s     140.401ms           0 b           0 b    -109.61 Gb    -115.76 Gb           137  
                                      CudnnRnnBackward0         0.03%       4.445ms        16.86%        2.624s      19.153ms       0.000us         0.00%       19.235s     140.401ms           0 b           0 b       6.15 Gb    -136.72 Mb           137  
                              aten::_cudnn_rnn_backward         8.35%        1.300s        16.83%        2.620s      19.121ms       13.633s        65.12%       19.235s     140.401ms           0 b           0 b       6.28 Gb    -113.19 Gb           137  
                                             aten::lstm         0.12%      18.882ms         9.48%        1.475s       8.832ms       0.000us         0.00%        8.139s      48.734ms           0 b           0 b     104.80 Gb           0 b           167  
