Optimized Model 2 (Structured) - Profile Train (num_workers=0, batch_size=128, structured pruning)

Time:
===============
Overall Time: 123.48534356300024s
	Total train Time: 14.698042675000579s
	Total validation Time: 2.1035821969999233s
	Total test Time: 0.9652310510000461s
	Train Time per epoch: 14.698042675000579s
	Validation per epoch: 2.1035821969999233s
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                        volta_sgemm_128x32_sliced1x4_tn         0.00%       0.000us         0.00%       0.000us       0.000us        3.358s        15.85%        3.358s      39.749us           0 b           0 b           0 b           0 b         84480  
void elemWiseRNNcell<float, float, float, (cudnnRNNM...         0.00%       0.000us         0.00%       0.000us       0.000us        1.406s         6.64%        1.406s      16.442us           0 b           0 b           0 b           0 b         85504  
void cudnn::dropout_generate_mask<4>(float, curandSt...         0.00%       0.000us         0.00%       0.000us       0.000us      19.607ms         0.09%      19.607ms     143.117us           0 b           0 b           0 b           0 b           137  
void cudnn::dropout_apply_mask<float, float, 4>(floa...         0.00%       0.000us         0.00%       0.000us       0.000us     326.177ms         1.54%     326.177ms      17.438us           0 b           0 b           0 b           0 b         18705  
                                       aten::transpose_         0.01%       2.058ms         0.02%       3.416ms      11.237us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           304  
                                      aten::as_strided_         0.01%       1.362ms         0.01%       1.362ms       4.480us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           304  
                                          aten::dropout         0.00%     632.000us         0.06%       9.964ms      59.665us       0.000us         0.00%       1.058ms       6.335us           0 b           0 b      42.72 Mb           0 b           167  
                                   aten::native_dropout         0.03%       4.239ms         0.06%       9.332ms      68.117us     856.000us         0.00%       1.058ms       7.723us           0 b           0 b      42.72 Mb      -1.75 Mb           137  
                                           aten::linear         0.01%       1.278ms         0.11%      17.770ms     106.407us       0.000us         0.00%       1.511ms       9.048us           0 b           0 b      83.50 Kb       1.00 Kb           167  
                                                aten::t         0.02%       2.679ms         0.03%       5.067ms       7.087us       0.000us         0.00%       0.000us       0.000us           0 b           0 b           0 b           0 b           715  
